0;Cod fish fillet;Made in ,,,;KGR;Abadejo fillet;9,46;1000;519.jpg;519.jpg;4;FP0181;0
0;Fish sticks;Made in ,,,;KGR;Bastones pescado rebozados;3,94;1000;519.jpg;519.jpg;4;FP0182;0
0;Fish local merluza fillet;Made in ,,,;KGR;Merluza fillet;4,94;1000;519.jpg;519.jpg;4;FP0183;0
0;Crab-sticks- surimi;Made in ,,,;KGR;Palito de oceano- kanikama;8,84;1000;519.jpg;519.jpg;4;FP0184;0
0;Prawns ;Made in ,,,;KGR;Langostino ;10,94;1000;519.jpg;519.jpg;4;FP0185;0
0;Seafood cocktail;Made in ,,,;KGR;Base para cazuela-paella;11,64;1000;519.jpg;519.jpg;4;FP0186;0
0;Squid clean tubes;Made in ,,,;KGR;Calamar tubo;13,36;1000;519.jpg;519.jpg;4;FP0187;0
0;Squid whole;Made in ,,,;KGR;Calamar entero;7,48;1000;519.jpg;519.jpg;4;FP0188;0
0;Ice cream conogol/cornetto;Made in ,,,;PCE;Helado conogol;1,82;1000;519.jpg;519.jpg;5;FP0201;0
0;Ice cream in cup indiv;Made in ,,,;PCE;Helado sin parar;1,48;1000;519.jpg;519.jpg;5;FP0202;0
0;Ice cream luxor cornetto;Made in ,,,;PCE;Helado luxor;1,34;1000;519.jpg;519.jpg;5;FP0203;0
0;Ice cream assorted 1,5kgr;Made in ,,,;PCE;Helado tricolor surtido 1,5kgr;7,76;1000;519.jpg;519.jpg;5;FP0204;0
0;Ice cream mega/magnum;Made in ,,,;PCE;Helado mega;1,82;1000;519.jpg;519.jpg;5;FP0205;0
0;Brocolli frozen;Made in ,,,;KGR;Brocoli congelado;4,78;1000;519.jpg;519.jpg;6;FP0221;0
0;Chard frozen;Made in ,,,;KGR;Acelga congelada;3,48;1000;519.jpg;519.jpg;6;FP0222;0
0;Corn kernells frozen;Made in ,,,;KGR;Choclo granos congelado;5,64;1000;519.jpg;519.jpg;6;FP0223;0
0;French beans frozen;Made in ,,,;KGR;Chaucha cortada cong;6,78;1000;519.jpg;519.jpg;6;FP0224;0
0;French fries;Made in ,,,;KGR;Papas baston congeladas;3,96;1000;519.jpg;519.jpg;6;FP0225;0
0;Green peas frozen;Made in ,,,;KGR;Arvejas congeladas;4,48;1000;519.jpg;519.jpg;6;FP0226;0
0;Mix peas/carrots/pot frozen;Made in ,,,;KGR;Mix jardinera congelado;5,12;1000;519.jpg;519.jpg;6;FP0227;0
0;Mix vegetables frozen;Made in ,,,;KGR;Mix primavera congelado;5,12;1000;519.jpg;519.jpg;6;FP0228;0
0;Potato balls/croquettes frozen;Made in ,,,;KGR;Papas noissette congeladas;5,64;1000;519.jpg;519.jpg;6;FP0229;0
0;Spinach frozen;Made in ,,,;KGR;Espinaca congelado;4,58;1000;519.jpg;519.jpg;6;FP0230;0
0;Spring rolls frozen 10pce/pkt;Made in ,,,;PKT;Rollitos primavera 10und;2,38;1000;519.jpg;519.jpg;6;FP0231;0
0;Bread baguette frozen;Made in ,,,;KGR;Pan Congelado;2,56;1000;558.jpg;558.jpg;7;FP0261;0
0;Croissants frozen;Made in ,,,;PCE;Medialunas congeladas;0,26;1000;558.jpg;558.jpg;7;FP0262;0
0;Bread white sliced 380grm;Made in ,,,;PKT;Pan molde blanco 380grm;2,34;1000;558.jpg;558.jpg;7;FP0263;0
0;Bread rye wheat sliced 530grm;Made in ,,,;PKT;Pan molde semillado 530grm;3,42;1000;558.jpg;558.jpg;7;FP0264;0
0;Bread brown sliced 380grm;Made in ,,,;PKT;Pan molde salvado 380grm;2,34;1000;558.jpg;558.jpg;7;FP0265;0
0;Bread sandwich arab 230grm;Made in ,,,;PKT;Pan arabe-tostazos 230grm;1,36;1000;558.jpg;558.jpg;7;FP0266;0
0;Bread taco-shells;Made in ,,,;PKT;Rapiditas 12und;2,12;1000;567.jpg;567.jpg;7;FP0267;0
